#nb_line naive_duration(ms) lps_duration(ms) optimized_lps_duration(ms)
3620 3 3 3
3630 3 3 3
3640 3 3 3
3650 3 3 3
3660 3 4 3
3670 3 3 3
3680 3 3 3
3690 3 3 3
3700 3 3 3
3710 3 3 3
3720 3 3 3
3730 3 3 3
3740 3 3 3
3750 7 7 6
3760 6 6 4
3770 3 3 3
3780 3 3 3
3790 3 3 3
3800 3 3 3
3810 3 3 3
3820 3 6 7
3830 6 5 5
3840 3 3 3
3850 3 3 3
3860 3 3 3
3870 4 3 3
3880 3 3 4
3890 7 7 6
3900 5 3 3
3910 3 3 3
3920 4 3 3
3930 3 3 3
3940 3 3 3
3950 3 3 3
3960 3 3 3
3970 3 3 3
3980 3 3 3
3990 3 3 3
4000 3 3 3
4010 3 3 3
4020 3 3 3
4030 3 3 3
4040 3 3 3
4050 3 3 3
4060 3 3 3
4070 3 3 3
4080 3 3 3
4090 3 3 3
4100 3 3 3
4110 3 3 3
4120 3 3 3
4130 3 3 3
4140 3 3 3
4150 3 3 3
4160 3 3 3
4170 3 3 3
4180 3 3 3
4190 3 3 3
4200 3 3 3
4210 3 3 3
4220 3 3 3
4230 3 3 3
4240 3 3 3
4250 3 3 3
4260 3 4 3
4270 3 3 3
4280 3 3 3
4290 3 3 3
4300 4 3 3
4310 3 4 3
4320 3 4 4
4330 3 4 4
4340 3 4 4
4350 4 3 4
4360 4 4 4
4370 4 4 4
4380 4 4 4
4390 4 4 4
4400 3 4 4
4410 4 4 4
4420 4 4 4
4430 4 4 4
4440 4 4 3
4450 3 3 3
4460 3 3 3
4470 3 3 4
4480 4 4 4
4490 4 4 4
4500 3 4 4
4510 4 4 4
4520 4 4 4
4530 4 4 4
4540 4 4 4
4550 4 4 4
4560 4 4 4
4570 4 4 4
4580 4 4 4
4590 4 4 4
4600 4 4 4
4610 4 4 4
4620 4 4 4
4630 4 4 4
4640 4 4 4
4650 4 4 4
4660 4 4 4
4670 4 4 4
4680 4 4 4
4690 4 4 4
4700 4 4 4
4710 4 4 4
4720 4 4 4
4730 4 4 4
4740 4 4 4
4750 4 4 4
4760 4 4 4
4770 4 4 4
4780 4 4 4
4790 4 4 4
4800 4 4 4
4810 4 4 4
4820 4 4 4
4830 4 4 4
4840 4 4 4
4850 4 4 4
4860 4 4 4
4870 4 4 4
4880 4 4 4
4890 4 5 4
4900 4 4 4
4910 4 4 4
